Test #,Epsilon,Sparsity,Noise,Time to Compress,Compression Ratio
17,0.0600412,1,0.02,185336,0.0625
18,0.052699858,1,0.08,217847,0.36328125
19,0.050352864,1,0.1,218722,0.451171875
20,0.038217136,1,0.2,159746,0.6640625
21,0.060086738,0.7,0.02,59123,0.337381916
22,0.052939937,0.7,0.08,67717,0.450928382
23,0.050450063,0.7,0.1,60171,0.52294854
24,0.038450548,0.7,0.2,37228,0.723781388
25,0.060157446,0.5,0.02,14153,0.470588235
26,0.052858802,0.5,0.08,20238,0.522556391
27,0.050327123,0.5,0.1,15495,0.601659751
28,0.038409215,0.5,0.2,12485,0.751968504
29,0.060252093,0.2,0.02,587,0.699453552
30,0.05424682,0.2,0.08,630,0.732984293
31,0.051907085,0.2,0.1,1401,0.698275862
32,0.038471621,0.2,0.2,469,0.866995074
17,0.060124387,1,0.02,190139,0.0625
18,0.052937381,1,0.08,224343,0.3671875
19,0.050306699,1,0.1,222944,0.45703125
20,0.038702125,1,0.2,163565,0.66015625
21,0.060137448,0.7,0.02,52042,0.361549498
22,0.053493463,0.7,0.08,63207,0.453551913
23,0.050127311,0.7,0.1,53402,0.545722714
24,0.039463934,0.7,0.2,43329,0.712676056
25,0.060192695,0.5,0.02,18247,0.469902913
26,0.05359148,0.5,0.08,19335,0.502879079
27,0.050108296,0.5,0.1,21903,0.569832402
28,0.037981374,0.5,0.2,9875,0.782795699
29,0.060588766,0.2,0.02,560,0.685082873
30,0.054249541,0.2,0.08,978,0.71627907
31,0.05265603,0.2,0.1,1009,0.728110599
32,0.039266058,0.2,0.2,552,0.871559633
17,0.060088706,1,0.02,187918,0.0625
18,0.052794285,1,0.08,221600,0.365234375
19,0.050243139,1,0.1,221404,0.455078125
20,0.038321728,1,0.2,160064,0.6640625
21,0.060036858,0.7,0.02,50624,0.368650218
22,0.053044904,0.7,0.08,62359,0.458563536
23,0.051258196,0.7,0.1,57472,0.525714286
24,0.038731693,0.7,0.2,41610,0.701001431
25,0.060387465,0.5,0.02,17354,0.467181467
26,0.053106768,0.5,0.08,16285,0.540983607
27,0.050525182,0.5,0.1,20801,0.572490706
28,0.038712106,0.5,0.2,15373,0.751361162
29,0.060689908,0.2,0.02,621,0.691489362
30,0.052954081,0.2,0.08,619,0.710382514
31,0.050406619,0.2,0.1,935,0.745283019
32,0.044559647,0.2,0.2,529,0.851282051
17,0.06006893,1,0.02,187641,0.0625
18,0.052669736,1,0.08,220964,0.359375
19,0.050742845,1,0.1,220943,0.453125
20,0.037931514,1,0.2,160125,0.669921875
21,0.060059431,0.7,0.02,54982,0.360839161
22,0.053073614,0.7,0.08,64829,0.444141689
23,0.050471265,0.7,0.1,63480,0.535519126
24,0.038560293,0.7,0.2,41044,0.708571429
25,0.060244203,0.5,0.02,18284,0.45681382
26,0.052793839,0.5,0.08,18184,0.547945205
27,0.050026458,0.5,0.1,16493,0.597137014
28,0.03982297,0.5,0.2,12322,0.751004016
29,0.060610151,0.2,0.02,983,0.669724771
30,0.053435979,0.2,0.08,778,0.710659898
31,0.052134863,0.2,0.1,821,0.728205128
32,0.04122168,0.2,0.2,666,0.865116279
17,0.060030372,1,0.02,187389,0.0625
18,0.052691104,1,0.08,221312,0.3828125
19,0.050266834,1,0.1,220302,0.470703125
20,0.037808751,1,0.2,159927,0.66796875
21,0.060218919,0.7,0.02,56401,0.361878453
22,0.053007916,0.7,0.08,58106,0.458274399
23,0.050196178,0.7,0.1,65571,0.514131898
24,0.038680031,0.7,0.2,40710,0.711237553
25,0.060239851,0.5,0.02,16456,0.488977956
26,0.052971293,0.5,0.08,17243,0.532
27,0.050464583,0.5,0.1,20312,0.577358491
28,0.038512163,0.5,0.2,13894,0.735459662
29,0.060573692,0.2,0.02,954,0.669856459
30,0.053805861,0.2,0.08,701,0.720812183
31,0.052272919,0.2,0.1,939,0.740740741
32,0.043979715,0.2,0.2,602,0.865671642
17,0.06004648,1,0.02,187491,0.0625
18,0.052991976,1,0.08,221407,0.36328125
19,0.050589828,1,0.1,220298,0.455078125
20,0.0381155,1,0.2,160426,0.658203125
21,0.060110296,0.7,0.02,56975,0.357634113
22,0.053391744,0.7,0.08,57560,0.46875
23,0.051339949,0.7,0.1,66086,0.511564626
24,0.038764609,0.7,0.2,46843,0.699319728
25,0.060213199,0.5,0.02,17728,0.470817121
26,0.053232854,0.5,0.08,18561,0.534883721
27,0.050589241,0.5,0.1,22450,0.569852941
28,0.038372714,0.5,0.2,13065,0.762808349
29,0.060183488,0.2,0.02,1000,0.684931507
30,0.05378418,0.2,0.08,692,0.734693878
31,0.052751898,0.2,0.1,911,0.740740741
32,0.041970335,0.2,0.2,571,0.834123223
17,0.060131374,1,0.02,193754,0.0625
18,0.052921506,1,0.08,229779,0.36328125
19,0.050417996,1,0.1,227608,0.45703125
20,0.038097575,1,0.2,164326,0.666015625
21,0.060073785,0.7,0.02,59051,0.359116022
22,0.053114731,0.7,0.08,60730,0.457223001
23,0.05059053,0.7,0.1,58258,0.541007194
24,0.038203144,0.7,0.2,45297,0.71922545
25,0.060050791,0.5,0.02,19550,0.456074766
26,0.053010668,0.5,0.08,18473,0.541832669
27,0.050625334,0.5,0.1,25326,0.577540107
28,0.039081234,0.5,0.2,12842,0.760784314
29,0.060485688,0.2,0.02,1368,0.652173913
30,0.053688273,0.2,0.08,755,0.727272727
31,0.050850017,0.2,0.1,905,0.767676768
32,0.038513899,0.2,0.2,608,0.85046729
17,0.060083416,1,0.02,194158,0.064453125
18,0.052600527,1,0.08,231849,0.373046875
19,0.050863246,1,0.1,229371,0.45703125
20,0.037875009,1,0.2,163533,0.66796875
21,0.060109661,0.7,0.02,57825,0.371705964
22,0.053026165,0.7,0.08,59638,0.466101695
23,0.050484404,0.7,0.1,62140,0.527349229
24,0.038352144,0.7,0.2,46768,0.707988981
25,0.060158216,0.5,0.02,19264,0.467680608
26,0.053650638,0.5,0.08,20521,0.518939394
27,0.051336768,0.5,0.1,19218,0.579881657
28,0.03809439,0.5,0.2,15198,0.747252747
29,0.060173049,0.2,0.02,813,0.686868687
30,0.054870039,0.2,0.08,982,0.722222222
31,0.051599443,0.2,0.1,933,0.746411483
32,0.038803845,0.2,0.2,547,0.884422111
17,0.060065598,1,0.02,196578,0.0625
18,0.052761598,1,0.08,234272,0.376953125
19,0.050472081,1,0.1,231183,0.4453125
20,0.038357543,1,0.2,172600,0.66796875
21,0.060126203,0.7,0.02,60464,0.375
22,0.053273897,0.7,0.08,67009,0.452413793
23,0.051791776,0.7,0.1,64303,0.52027972
24,0.038255366,0.7,0.2,43791,0.708683473
25,0.060166287,0.5,0.02,16003,0.478350515
26,0.053094845,0.5,0.08,17584,0.543259557
27,0.050428593,0.5,0.1,16130,0.608333333
28,0.039589257,0.5,0.2,11364,0.761316872
29,0.060194374,0.2,0.02,662,0.727272727
30,0.053381698,0.2,0.08,910,0.706976744
31,0.051175908,0.2,0.1,889,0.742574257
32,0.043230227,0.2,0.2,453,0.890052356
17,0.060072905,1,0.02,194283,0.0625
18,0.052718069,1,0.08,228750,0.359375
19,0.050625963,1,0.1,229385,0.4609375
20,0.038481293,1,0.2,164365,0.65234375
21,0.060115534,0.7,0.02,57625,0.361111111
22,0.052849156,0.7,0.08,64598,0.44077135
23,0.050792791,0.7,0.1,61605,0.519774011
24,0.038371979,0.7,0.2,38451,0.724594993
25,0.060128495,0.5,0.02,20798,0.462686567
26,0.053083865,0.5,0.08,18982,0.529644269
27,0.0509548,0.5,0.1,19968,0.584313725
28,0.0389782,0.5,0.2,12824,0.760956175
29,0.060150274,0.2,0.02,954,0.679425837
30,0.054228642,0.2,0.08,745,0.742268041
31,0.053508109,0.2,0.1,851,0.746411483
32,0.043588309,0.2,0.2,623,0.845771144
17,0.060086939,1,0.02,193530,0.0625
18,0.052635674,1,0.08,227676,0.365234375
19,0.050402738,1,0.1,228638,0.462890625
20,0.037643974,1,0.2,163617,0.666015625
21,0.060207125,0.7,0.02,53144,0.382183908
22,0.052803695,0.7,0.08,66875,0.445054945
23,0.05097818,0.7,0.1,62616,0.515492958
24,0.038093946,0.7,0.2,42725,0.716502116
25,0.060164858,0.5,0.02,21143,0.444852941
26,0.052852558,0.5,0.08,21156,0.516007533
27,0.050991624,0.5,0.1,18672,0.581532417
28,0.039503545,0.5,0.2,13469,0.742632613
29,0.060115803,0.2,0.02,736,0.711340206
